Barangay,Base Price,Price,Lot Area,Floor Area,price per lotsqm,price per floorsqm,Is Amortized?,development
TRES CRUSES,277027.6532,751330,36.4,32,20640.93407,23479.0625,yes,0.35
TRES CRUSES,2300000,2300000,36,32,63888.88889,71875,no,0.35
TRES CRUSES,750000,750000,36,32,20833.33333,23437.5,no,0.35
TRES CRUSES,5500000,5500000,253,32,21739.13043,171875,no,0.35
TRES CRUSES,458535.6495,1243600,36,32,34544.44444,38862.5,yes,0.35
CALIBUYO,1185101.177,4291358,54.5,44.5,78740.51376,96435.01124,yes,0.25
CALIBUYO,3500000,3500000,162,44.5,21604.93827,78651.68539,no,0.25
CALIBUYO,1065230.088,3857294,58,45,66505.06897,85717.64444,yes,0.25
CALIBUYO,1046646.181,3790000,78,44,48589.74359,86136.36364,yes,0.25
CALIBUYO,1038361.382,3760000,58,44.5,64827.58621,84494.38202,yes,0.25
CALIBUYO,1082878.365,3921200,58.6,44,66914.67577,89118.18182,yes,0.25
CALIBUYO,3000000,3000000,65,44.5,46153.84615,67415.73034,no,0.25
CALIBUYO,3000000,3000000,64,44.5,46875,67415.73034,no,0.25
CALIBUYO,1155065.469,4182596,60,46,69709.93333,90926,yes,0.25
CALIBUYO,1077320.094,3901073,58,44.5,67259.87931,87664.5618,yes,0.25
CALIBUYO,1046646.181,3790000,58.5,68,64786.32479,55735.29412,yes,0.25
CALIBUYO,5000000,5000000,100,44.5,50000,112359.5506,no,0.25
CALIBUYO,1131151.123,4096000,58,44,70620.68966,93090.90909,yes,0.25
CALIBUYO,1091564.424,3952653,58,44.5,68149.18966,88823.66292,yes,0.25
CALIBUYO,1043884.581,3780000,58.55,44.5,64560.20495,84943.82022,yes,0.25
CALIBUYO,1065093.665,3856800,62,46,62206.45161,83843.47826,yes,0.25
CALIBUYO,1043199.705,3777520,32,42,118047.5,89940.95238,yes,0.25
CALIBUYO,787055.835,2850000,58.55,44.5,48676.345,64044.94382,yes,0.25
CALIBUYO,1146063.76,4150000,90,75,46111.11111,55333.33333,yes,0.25
CALIBUYO,1212140.549,4389270,64,44.5,68582.34375,98635.2809,yes,0.25
CALIBUYO,887427.5468,3213455,36,32,89262.63889,100420.4688,yes,0.25
CALIBUYO,744893.9786,2145000,32,46,67031.25,46630.43478,yes,0.25
CALIBUYO,729062.2472,2640000,58.55,44.5,45089.66695,59325.8427,yes,0.25
CALIBUYO,848967.3009,2444690,32,44.5,76396.5625,54936.85393,yes,0.25
LAMBINGAN,846628.2293,3065717,48,34,63869.10417,90168.14706,yes,0.2
LAMBINGAN,761755.1658,2758384,48,42,57466.33333,65675.80952,yes,0.2
LAMBINGAN,771445.8894,2221459,36,42,61707.19444,52891.88095,yes,0.2
LAMBINGAN,690239.2495,1987616,48,42,41408.66667,47324.19048,yes,0.2
LAMBINGAN,737281.8219,2123080,36,42,58974.44444,50549.52381,yes,0.2
LAMBINGAN,836162.5959,3027820,48,42,63079.58333,72090.95238,yes,0.2
LAMBINGAN,836162.5959,3027820,36,42,84106.11111,72090.95238,yes,0.2
LAMBINGAN,1008715.889,3652651,72,42,50731.26389,86967.88095,yes,0.2
LAMBINGAN,695784.9742,2519500,36,42,69986.11111,59988.09524,yes,0.2
LAMBINGAN,825762.7249,2377870,48,42,49538.95833,56615.95238,yes,0.2
LAMBINGAN,750147.4779,2160128,36,42,60003.55556,51431.61905,yes,0.2
LAMBINGAN,747947.1687,2708384,48,42,56424.66667,64485.33333,yes,0.2
LAMBINGAN,872223.5612,3158400,77,130,41018.18182,24295.38462,yes,0.2
LAMBINGAN,734989.8405,2116480,42,42,50392.38095,50392.38095,yes,0.2
LAMBINGAN,836162.5959,3027820,48,42,63079.58333,72090.95238,yes,0.2
LAMBINGAN,773689.6938,2801600,48,42,58366.66667,66704.7619,yes,0.2
LAMBINGAN,799871.3214,2303313,48,42,47985.6875,54840.78571,yes,0.2
LAMBINGAN,768994.511,2214400,36,42,61511.11111,52723.80952,yes,0.2
LAMBINGAN,700066.5579,2535004,48,48,52812.58333,52812.58333,yes,0.2
LAMBINGAN,699236.9734,2532000,56,42,45214.28571,60285.71429,yes,0.2
LAMBINGAN,774411.9218,2230000,42,36,53095.2381,61944.44444,yes,0.2
LAMBINGAN,734585.446,2660000,55,42,48363.63636,63333.33333,yes,0.2
LAMBINGAN,786023.2388,2263436,44,48,51441.72727,47154.91667,yes,0.2
LAMBINGAN,803625.4316,2910000,48,42,60625,69285.71429,yes,0.2
HALAYHAY,3200000,3200000,40,36,80000,88888.88889,no,0.3
HALAYHAY,600776.9618,1730000,48,42,36041.66667,41190.47619,yes,0.3
HALAYHAY,718883.4616,2070100,50,44,41402,47047.72727,yes,0.3
HALAYHAY,624009.3194,1796900,48,42,37435.41667,42783.33333,yes,0.3
HALAYHAY,692679.8318,2508256,48,42.6,52255.33333,58879.24883,yes,0.3
HALAYHAY,821888.3249,2976131.58,48,42,62002.74125,70860.27571,yes,0.3
HALAYHAY,723849.4214,2084400,48,42,43425,49628.57143,yes,0.3
HALAYHAY,591484.0187,1703240,48,42,35484.16667,40553.33333,yes,0.3
HALAYHAY,557159.8598,1604400,40,30,40110,53480,yes,0.3
HALAYHAY,1100000,1100000,48,42,22916.66667,26190.47619,no,0.3
HALAYHAY,570692.274,1643368,48,42,34236.83333,39127.80952,yes,0.3
HALAYHAY,1800000,1800000,156,42,11538.46154,42857.14286,no,0.3
HALAYHAY,1700000,1700000,300,42,5666.666667,40476.19048,no,0.3
HALAYHAY,3500000,3500000,150,42,23333.33333,83333.33333,no,0.3
HALAYHAY,1468508.108,5317600,85,55,62560,96683.63636,yes,0.3
HALAYHAY,672261.7803,1935848,40,42,48396.2,46091.61905,yes,0.3
HALAYHAY,727405.2875,2634000,48,42,54875,62714.28571,yes,0.3
HALAYHAY,1204057.348,4360000,90,42,48444.44444,103809.5238,yes,0.3
HALAYHAY,1046356.213,3788950,48,42,78936.45833,90213.09524,yes,0.3
HALAYHAY,2700000,2700000,48,42,56250,64285.71429,no,0.3
HALAYHAY,1900000,1900000,36,32,52777.77778,59375,no,0.3
HALAYHAY,460895.4341,1250000,30,42,41666.66667,29761.90476,yes,0.3
HALAYHAY,814521.5976,2345500,48,42,48864.58333,55845.2381,yes,0.3
HALAYHAY,822647.3284,2978880,65,42,45828.92308,70925.71429,yes,0.3
HALAYHAY,534638.7035,1450000,36,42,40277.77778,34523.80952,yes,0.3
POBLACION,816084.3122,2350000,60,46,39166.66667,51086.95652,yes,0.95
POBLACION,642449.3522,1850000,54,45,34259.25926,41111.11111,yes,0.95
POBLACION,2100000,2100000,45,46,46666.66667,45652.17391,no,0.95
POBLACION,677176.3442,1950000,60,46,32500,42391.30435,yes,0.95
POBLACION,850811.3042,2450000,60,46,40833.33333,53260.86957,yes,0.95
POBLACION,950000,950000,60,46,15833.33333,20652.17391,no,0.95
POBLACION,792579.0339,2870000,60,46,47833.33333,62391.30435,yes,0.95
POBLACION,3200000,3200000,80,46,40000,69565.21739,no,0.95
POBLACION,621597.5298,1789955,60,46,29832.58333,38912.06522,yes,0.95
POBLACION,484948.645,1315235,60,46,21920.58333,28592.06522,yes,0.95
POBLACION,821640.6309,2366000,60,46,39433.33333,51434.78261,yes,0.95
POBLACION,746630.3282,2150000,80,46,26875,46739.13043,yes,0.95
POBLACION,1141921.361,4135000,120,46,34458.33333,89891.30435,yes,0.95
POBLACION,1043884.581,3780000,96,60,39375,63000,yes,0.95
POBLACION,826110.3741,2991420,60,46,49857,65030.86957,yes,0.95
POBLACION,691869.6818,1992311,60,46,33205.18333,43311.1087,yes,0.95
POBLACION,923755.0064,3345000,86,46,38895.34884,72717.3913,yes,0.95
POBLACION,4800000,4800000,100,80,48000,60000,no,0.95
POBLACION,5000000,5000000,100,86,50000,58139.53488,no,0.95
POBLACION,1037444.531,3756680,60,46,62611.33333,81666.95652,yes,0.95
POBLACION,755021.2818,2734000,46,42,59434.78261,65095.2381,yes,0.95
POBLACION,655958.1521,1888900,42,36,44973.80952,52469.44444,yes,0.95
POBLACION,1200000,1200000,30,44,40000,27272.72727,no,0.95
POBLACION,494079.9053,1340000,32,46,41875,29130.43478,yes,0.95
POBLACION,1700000,1700000,32,46,53125,36956.52174,no,0.95
BUNGA,1700000,1700000,260,45,6538.461538,37777.77778,no,0.2
BUNGA,1173679.754,4250000,200,45,21250,94444.44444,yes,0.2
BUNGA,823029.7106,2370000,100,60,23700,39500,yes,0.2
BUNGA,795340.6333,2880000,140,44,20571.42857,65454.54545,yes,0.2
BUNGA,461194.0943,1250810,80,42,15635.125,29781.19048,yes,0.2
BUNGA,646373.5023,1861300,60,36,31021.66667,51702.77778,yes,0.2
BUNGA,950000,950000,46,45,20652.17391,21111.11111,no,0.2
BUNGA,744893.9786,2145000,70,45,30642.85714,47666.66667,yes,0.2
BUNGA,693351.4825,1996578,75,36,26621.04,55460.5,yes,0.2
BUNGA,460895.4341,1250000,55,45,22727.27273,27777.77778,yes,0.2
BUNGA,350487.0111,950560,70,45,13579.42857,21123.55556,yes,0.2
BUNGA,540092.0183,1464790,70,45,20925.57143,32550.88889,yes,0.2
BUNGA,2500000,2500000,65,45,38461.53846,55555.55556,no,0.2
BUNGA,345855.9337,938000,65,45,14430.76923,20844.44444,yes,0.2
BUNGA,2000000,2000000,76,45,26315.78947,44444.44444,no,0.2
BUNGA,781357.3202,2250000,70,45,32142.85714,50000,yes,0.2
BUNGA,677176.3442,1950000,50,45,39000,43333.33333,yes,0.2
BUNGA,816798.2608,2957700,50,45,59154,65726.66667,yes,0.2
BUNGA,1800000,1800000,70,45,25714.28571,40000,no,0.2
BUNGA,2000000,2000000,76,45,26315.78947,44444.44444,no,0.2
BUNGA,656027.606,1889100,70,45,26987.14286,41980,yes,0.2
BUNGA,2100000,2100000,70,45,30000,46666.66667,no,0.2
BUNGA,550655.7417,1493440,50,45,29868.8,33187.55556,yes,0.2
BUNGA,656340.149,1890000,60,55,31500,34363.63636,yes,0.2
BUNGA,2500000,2500000,100,60,25000,41666.66667,no,0.2
