Barangay,Base Price,Price,Lot Area,Floor Area,price per lotsqm,price per floorsqm,Is Amortized?,development
BIGA,497767.0688,1350000,36,46,37500,29347.82609,yes,0.6
BUCAL,3500000,3500000,106,136,33018.86792,25735.29412,no,0.45
BAGTAS,1400000,1400000,54,42,25925.92593,33333.33333,no,0.7
SAHUD ULAN,968299.6051,3506300,110,52,31875.45455,67428.84615,yes,0.3
SAHUD ULAN,1151741.056,4170558,52,52,80203.03846,80203.03846,yes,0.3
AMAYA,3500000,3500000,250,65,14000,53846.15385,no,0.8
AMAYA,2400000,2400000,50,70,48000,34285.71429,no,0.8
BIGA,1200000,1200000,60,46,20000,26086.95652,no,0.6
PUNTA,1600000,1600000,36,46,44444.44444,34782.6087,no,0.75
PARADAHAN,3500000,3500000,78,70,44871.79487,50000,no,0.65
JULUGAN,5500000,5500000,166,46,33132.53012,119565.2174,no,0.55
BAGTAS,1133360.402,4104000,79,50,51949.36709,82080,yes,0.7
PUNTA,902711.6188,3268800,36,45,90800,72640,yes,0.75
AMAYA,706969.4518,2560000,41,44,62439.02439,58181.81818,yes,0.8
BUCAL,824944.9791,2987200,36,42,82977.77778,71123.80952,yes,0.45
CAPIPISA,849074.9546,2445000,57,44,42894.73684,55568.18182,yes,0.45
SANJA MAYOR,807249.7654,2324560,40,46,58114,50533.91304,yes,0.5
SANJA MAYOR,820636.884,2971600,70,46,42451.42857,64600,yes,0.5
BUCAL,818167.9317,2356000,38,42,62000,56095.2381,yes,0.45
BAGTAS,398361.1416,1080400,37,42,29200,25723.80952,yes,0.7
BAGTAS,447090.6941,1212560,36,42,33682.22222,28870.47619,yes,0.7
BAGTAS,901591.7184,3264744.74,73,46,44722.53068,70972.71174,yes,0.7
BAGTAS,500000,500000,37,42,13513.51351,11904.7619,no,0.7
SANJA MAYOR,723704.7443,2620600,46,40,56969.56522,65515,yes,0.5
SANJA MAYOR,2500000,2500000,70,46,35714.28571,54347.82609,no,0.5
SANJA MAYOR,398213.6551,1080000,53,46,20377.35849,23478.26087,yes,0.5
SANJA MAYOR,1300000,1300000,60,46,21666.66667,28260.86957,no,0.5
SANJA MAYOR,756353.886,2178000,40,46,54450,47347.82609,yes,0.5
AMAYA,2500000,2500000,50,65,50000,38461.53846,no,0.8
AMAYA,818096.2125,2962400,42,36,70533.33333,82288.88889,yes,0.8
AMAYA,3500000,3500000,75,65,46666.66667,53846.15385,no,0.8
AMAYA,817612.2999,2354400,63,46,37371.42857,51182.6087,yes,0.8
AMAYA,5500000,5500000,136,65,40441.17647,84615.38462,no,0.8
AMAYA,2000000,2000000,50,65,40000,30769.23077,no,0.8
DAANG AMAYA,3500000,3500000,96,158,36458.33333,22151.89873,no,0.9
AMAYA,787055.835,2850000,46,65,61956.52174,43846.15385,yes,0.8
AMAYA,750172.4814,2160200,50,65,43204,33233.84615,yes,0.8
AMAYA,1800000,1800000,40,65,45000,27692.30769,no,0.8
AMAYA,2400000,2400000,50,70,48000,34285.71429,no,0.8
PUNTA,420000,420000,33,45,12727.27273,9333.333333,no,0.75
PUNTA,1600000,1600000,36,46,44444.44444,34782.6087,no,0.75
PUNTA,898790.1476,3254600,36,42,90405.55556,77490.47619,yes,0.75
PUNTA,903744.457,3272540,36,45,90903.88889,72723.11111,yes,0.75
PUNTA,816242.3508,2955687,36,45,82102.41667,65681.93333,yes,0.75
PUNTA,916519.6159,3318800,36,45,92188.88889,73751.11111,yes,0.75
PUNTA,627305.6055,1806392,36,45,50177.55556,40142.04444,yes,0.75
PUNTA,990972.3363,3588400,36,45,99677.77778,79742.22222,yes,0.75
PUNTA,898694.8724,3254255,36,45,90395.97222,72316.77778,yes,0.75
PUNTA,1112040.855,4026800,36,45,111855.5556,89484.44444,yes,0.75
PUNTA,610629.0094,1758370,33,27,53283.93939,65124.81481,yes,0.75
BIGA,1200000,1200000,60,46,20000,26086.95652,no,0.6
BIGA,1700000,1700000,60,46,28333.33333,36956.52174,no,0.6
BIGA,575634.6195,1657600,40,42,41440,39466.66667,yes,0.6
BIGA,1128941.843,4088000,44,46,92909.09091,88869.56522,yes,0.6
BIGA,1800000,1800000,97,46,18556.70103,39130.43478,no,0.6
BIGA,2800000,2800000,58,50,48275.86207,56000,no,0.6
BIGA,1389636.829,5032000,120,100,41933.33333,50320,yes,0.6
BIGA,790000,790000,56,46,14107.14286,17173.91304,no,0.6
BIGA,704124.49,2027600,40,44,50690,46081.81818,yes,0.6
BIGA,1100000,1100000,40,46,27500,23913.04348,no,0.6
BIGA,2500000,2500000,40,46,62500,54347.82609,no,0.6
BIGA,4000000,4000000,67,46,59701.49254,86956.52174,no,0.6
PARADAHAN,5300000,5300000,130,240,40769.23077,22083.33333,no,0.65
PARADAHAN,4200000,4200000,78,77,53846.15385,54545.45455,no,0.65
PARADAHAN,3500000,3500000,78,70,44871.79487,50000,no,0.65
PARADAHAN,2800000,2800000,80,70,35000,40000,no,0.65
PARADAHAN,1900000,1900000,72,70,26388.88889,27142.85714,no,0.65
PARADAHAN,300188.2018,814144,78,70,10437.74359,11630.62857,yes,0.65
PARADAHAN,1400000,1400000,72,70,19444.44444,20000,no,0.65
PARADAHAN,831225.2807,2393600,60,70,39893.33333,34194.28571,yes,0.65
PARADAHAN,497767.0688,1350000,38,70,35526.31579,19285.71429,yes,0.65
PARADAHAN,950000,950000,38.5,70,24675.32468,13571.42857,no,0.65
PARADAHAN,750000,750000,36,70,20833.33333,10714.28571,no,0.65
PARADAHAN,486705.5784,1320000,60,45,22000,29333.33333,yes,0.65
PARADAHAN,980000,980000,100,70,9800,14000,no,0.65
SAHUD ULAN,2500000,2500000,40.25,52,62111.80124,48076.92308,no,0.3
SAHUD ULAN,1800000,1800000,54,52,33333.33333,34615.38462,no,0.3
SAHUD ULAN,1454700.111,5267600,85,55,61971.76471,95774.54545,yes,0.3
SAHUD ULAN,3500000,3500000,100,52,35000,67307.69231,no,0.3
SAHUD ULAN,760489.2486,2753800,45,40,61195.55556,68845,yes,0.3
SAHUD ULAN,662868.8235,1908800,52,52,36707.69231,36707.69231,yes,0.3
SAHUD ULAN,2100000,2100000,52,52,40384.61538,40384.61538,no,0.3
SAHUD ULAN,671003.6213,1932225,46,44,42004.8913,43914.20455,yes,0.3
SAHUD ULAN,1500000,1500000,52,43,28846.15385,34883.72093,no,0.3
SAHUD ULAN,830933.5074,3008885,50,46,60177.7,65410.54348,yes,0.3
SAHUD ULAN,2200000,2200000,40.25,52,54658.38509,42307.69231,no,0.3
SAHUD ULAN,1160424.077,4202000,40,52,105050,80807.69231,yes,0.3
SAHUD ULAN,1223830.399,4431600,42,52,105514.2857,85223.07692,yes,0.3
SAHUD ULAN,470172.3374,1275160,52,52,24522.30769,24522.30769,yes,0.3
SAHUD ULAN,1667409.545,6037840,80,52,75473,116112.3077,yes,0.3
TANAUAN,1054930.979,3820000,44,40,86818.18182,95500,yes,0.25
TANAUAN,7000000,7000000,240,200,29166.66667,35000,no,0.25
TANAUAN,860000,860000,42,22,20476.19048,39090.90909,no,0.25
TANAUAN,1191353.99,4314000,60,40,71900,107850,yes,0.25
TANAUAN,794208.3775,2875900,66,40,43574.24242,71897.5,yes,0.25
