location,date,aod,humidity
AMAYA,20140627,0.31,89.3
AMAYA,20140628,0.28,82.61
AMAYA,20140629,0.29,82.14
AMAYA,20140630,0.22,85.47
AMAYA,20140701,0.2,86.46
AMAYA,20140702,0.26,78.22
AMAYA,20140703,0.27,86.58
AMAYA,20140704,0.25,87.12
AMAYA,20140705,0.2,86.79
AMAYA,20140706,0.29,86.44
AMAYA,20140707,0.4,86.29
AMAYA,20140708,0.37,88.98
AMAYA,20140709,0.31,90.62
AMAYA,20140710,0.3,88.25
AMAYA,20140711,0.24,87.31
AMAYA,20140712,0.17,80.12
AMAYA,20140713,0.13,78.97
AMAYA,20140714,0.26,81.02
AMAYA,20140715,0.23,86.93
AMAYA,20140716,0.16,88.03
AMAYA,20140717,0.27,86.38
AMAYA,20140718,0.38,86.66
AMAYA,20140719,0.31,84.98
AMAYA,20140720,0.32,90.05
AMAYA,20140721,0.27,90.01
AMAYA,20140722,0.33,90.5
AMAYA,20140723,0.43,89.88
AMAYA,20140724,0.34,87.35
AMAYA,20140725,0.36,85.45
AMAYA,20140726,0.34,87.66
AMAYA,20140727,0.42,88.08
AMAYA,20140728,0.45,89.08
AMAYA,20140729,0.32,89.9
AMAYA,20140730,0.54,92.06
AMAYA,20140731,0.59,90.2
AMAYA,20140801,0.56,88.66
AMAYA,20140802,0.5,89.87
AMAYA,20140803,0.52,89.84
AMAYA,20140804,0.49,90.44
AMAYA,20140805,0.47,89.91
AMAYA,20140806,0.36,86.2
AMAYA,20140807,0.25,85.86
AMAYA,20140808,0.21,85.65
AMAYA,20140809,0.21,85.9
AMAYA,20140810,0.27,87.09
AMAYA,20140811,0.21,85.44
AMAYA,20140812,0.16,83.91
AMAYA,20140813,0.13,80.23
AMAYA,20140814,0.14,78.34
AMAYA,20140815,0.23,81.32
AMAYA,20140816,0.3,86.01
AMAYA,20140817,0.37,84.85
AMAYA,20140818,0.28,81.48
AMAYA,20140819,0.24,78.72
AMAYA,20140820,0.24,79.92
AMAYA,20140821,0.24,82.41
AMAYA,20140822,0.23,83.63
AMAYA,20140823,0.23,80.66
AMAYA,20140824,0.22,82.42
AMAYA,20140825,0.22,83.67
AMAYA,20140826,0.4,86.36
AMAYA,20140827,0.22,78.59
AMAYA,20140828,0.2,82.38
AMAYA,20140829,0.22,85.66
AMAYA,20140830,0.28,85.67
AMAYA,20140831,0.29,82.98
AMAYA,20140901,0.21,80.05
AMAYA,20140902,0.22,82.63
AMAYA,20140903,0.19,80.77
AMAYA,20140904,0.39,83.84
AMAYA,20140905,0.35,87.74
AMAYA,20140906,0.29,84.21
AMAYA,20140907,0.2,87.27
AMAYA,20140908,0.2,86.79
AMAYA,20140909,0.27,87.18
AMAYA,20140910,0.26,88.1
AMAYA,20140911,0.18,85.21
AMAYA,20140912,0.15,86.32
AMAYA,20140913,0.22,89.95
AMAYA,20140914,0.32,90.31
AMAYA,20140915,0.44,87.73
AMAYA,20140916,0.48,84.55
AMAYA,20140917,0.24,81.5
AMAYA,20140918,0.25,86.19
AMAYA,20140919,0.55,92.05
AMAYA,20140920,0.27,85.18
AMAYA,20140921,0.22,85.69
AMAYA,20140922,0.29,85.44
AMAYA,20140923,0.24,82.72
AMAYA,20140924,0.25,81.89
AMAYA,20140925,0.23,81.11
AMAYA,20140926,0.21,81.39
AMAYA,20140927,0.16,78.55
AMAYA,20140928,0.21,79.48
AMAYA,20140929,0.32,84.53
AMAYA,20140930,0.3,81.29
AMAYA,20141001,0.26,77.71
AMAYA,20141002,0.24,83.83
AMAYA,20141003,0.28,80.39
AMAYA,20141004,0.47,78.82
AMAYA,20141005,0.4,80.17
AMAYA,20141006,0.38,82.37
AMAYA,20141007,0.24,75.29
AMAYA,20141008,0.25,83.01
AMAYA,20141009,0.37,85.29
AMAYA,20141010,0.4,84.14
AMAYA,20141011,0.52,87.42
AMAYA,20141012,0.42,81.5
AMAYA,20141013,0.28,80.13
AMAYA,20141014,0.32,86.6
AMAYA,20141015,0.36,84.11
AMAYA,20141016,0.27,78.51
AMAYA,20141017,0.31,87.52
AMAYA,20141018,0.21,86.21
AMAYA,20141019,0.19,82.17
AMAYA,20141020,0.18,84.92
AMAYA,20141021,0.15,84.16
AMAYA,20141022,0.14,82.14
AMAYA,20141023,0.15,82.79
AMAYA,20141024,0.13,80.46
AMAYA,20141025,0.13,81.88
AMAYA,20141026,0.16,84.59
AMAYA,20141027,0.2,87.8
AMAYA,20141028,0.19,87.4
AMAYA,20141029,0.19,90.69
AMAYA,20141030,0.14,82.36
AMAYA,20141031,0.23,83.74
AMAYA,20141101,0.15,83.31
AMAYA,20141102,0.12,81.52
AMAYA,20141103,0.21,81.0
AMAYA,20141104,0.35,81.59
AMAYA,20141105,0.42,79.95
AMAYA,20141106,0.29,79.78
AMAYA,20141107,0.26,76.81
AMAYA,20141108,0.22,83.58
AMAYA,20141109,0.2,83.55
AMAYA,20141110,0.25,80.96
AMAYA,20141111,0.24,81.43
AMAYA,20141112,0.25,80.95
AMAYA,20141113,0.28,79.84
AMAYA,20141114,0.29,83.78
AMAYA,20141115,0.29,86.85
AMAYA,20141116,0.22,86.28
AMAYA,20141117,0.14,85.64
AMAYA,20141118,0.16,84.33
AMAYA,20141119,0.22,86.53
AMAYA,20141120,0.2,87.12
AMAYA,20141121,0.14,85.93
AMAYA,20141122,0.12,83.44
AMAYA,20141123,0.12,83.91
AMAYA,20141124,0.1,83.97
AMAYA,20141125,0.1,83.38
AMAYA,20141126,0.13,86.63
AMAYA,20141127,0.21,87.22
AMAYA,20141128,0.17,89.14
AMAYA,20141129,0.11,86.06
AMAYA,20141130,0.23,86.3
AMAYA,20141201,0.15,87.16
AMAYA,20141202,0.26,87.27
AMAYA,20141203,0.21,82.04
AMAYA,20141204,0.18,83.2
AMAYA,20141205,0.21,82.97
AMAYA,20141206,0.37,80.78
AMAYA,20141207,0.29,80.21
AMAYA,20141208,0.22,83.25
AMAYA,20141209,0.27,91.01
AMAYA,20141210,0.16,85.1
AMAYA,20141211,0.13,84.8
AMAYA,20141212,0.14,84.34
AMAYA,20141213,0.15,85.9
AMAYA,20141214,0.21,84.85
AMAYA,20141215,0.18,87.62
AMAYA,20141216,0.19,89.17
AMAYA,20141217,0.32,85.86
AMAYA,20141218,0.32,82.06
AMAYA,20141219,0.18,83.14
AMAYA,20141220,0.17,85.56
AMAYA,20141221,0.15,85.12
AMAYA,20141222,0.19,85.0
AMAYA,20141223,0.22,84.9
AMAYA,20141224,0.15,88.98
AMAYA,20141225,0.17,85.95
AMAYA,20141226,0.16,83.96
AMAYA,20141227,0.16,83.38
AMAYA,20141228,0.21,81.36
AMAYA,20141229,0.21,79.79
AMAYA,20141230,0.16,82.98
AMAYA,20141231,0.24,82.46
AMAYA,20150101,0.41,85.06
AMAYA,20150102,0.31,81.67
AMAYA,20150103,0.21,81.62
AMAYA,20150104,0.14,83.47
AMAYA,20150105,0.16,85.21
AMAYA,20150106,0.15,81.05
AMAYA,20150107,0.14,80.21
AMAYA,20150108,0.22,80.75
AMAYA,20150109,0.24,81.95
AMAYA,20150110,0.17,79.6
AMAYA,20150111,0.17,80.73
AMAYA,20150112,0.3,81.74
AMAYA,20150113,0.33,81.3
AMAYA,20150114,0.24,79.63
AMAYA,20150115,0.2,80.34
AMAYA,20150116,0.21,78.55
AMAYA,20150117,0.22,75.8
AMAYA,20150118,0.4,80.45
AMAYA,20150119,0.23,77.43
AMAYA,20150120,0.24,81.34
AMAYA,20150121,0.21,80.77
AMAYA,20150122,0.29,78.5
AMAYA,20150123,0.59,79.86
AMAYA,20150124,0.63,75.94
AMAYA,20150125,0.13,77.11
AMAYA,20150126,0.17,78.82
AMAYA,20150127,0.11,78.41
AMAYA,20150128,0.19,79.57
AMAYA,20150129,0.16,79.74
AMAYA,20150130,0.18,79.45
AMAYA,20150131,0.2,73.21
AMAYA,20150201,0.2,74.61
AMAYA,20150202,0.19,71.96
AMAYA,20150203,0.19,72.23
AMAYA,20150204,0.3,72.74
AMAYA,20150205,0.24,72.17
AMAYA,20150206,0.15,75.31
AMAYA,20150207,0.13,75.77
AMAYA,20150208,0.12,72.06
AMAYA,20150209,0.16,73.63
AMAYA,20150210,0.24,74.93
AMAYA,20150211,0.27,76.18
AMAYA,20150212,0.25,73.89
AMAYA,20150213,0.29,77.59
AMAYA,20150214,0.41,80.79
AMAYA,20150215,0.26,85.29
AMAYA,20150216,0.21,76.23
AMAYA,20150217,0.15,73.78
AMAYA,20150218,0.22,73.34
AMAYA,20150219,0.2,75.17
AMAYA,20150220,0.36,75.11
AMAYA,20150221,0.29,72.56
AMAYA,20150222,0.21,69.65
AMAYA,20150223,0.15,70.47
AMAYA,20150224,0.16,73.15
AMAYA,20150225,0.17,73.93
AMAYA,20150226,0.17,73.15
AMAYA,20150227,0.2,71.56
AMAYA,20150228,0.12,71.53
AMAYA,20150301,0.14,67.13
AMAYA,20150302,0.15,68.43
AMAYA,20150303,0.13,66.14
AMAYA,20150304,0.14,62.98
AMAYA,20150305,0.17,70.21
AMAYA,20150306,0.15,69.61
AMAYA,20150307,0.14,70.22
AMAYA,20150308,0.12,66.58
AMAYA,20150309,0.1,66.04
AMAYA,20150310,0.2,62.64
AMAYA,20150311,0.32,74.41
AMAYA,20150312,0.27,70.56
AMAYA,20150313,0.34,68.87
AMAYA,20150314,0.28,69.79
AMAYA,20150315,0.31,69.59
AMAYA,20150316,0.3,67.62
AMAYA,20150317,0.23,61.57
AMAYA,20150318,0.2,63.52
AMAYA,20150319,0.25,63.24
AMAYA,20150320,0.18,63.58
AMAYA,20150321,0.15,70.8
AMAYA,20150322,0.3,73.66
AMAYA,20150323,0.18,73.74
AMAYA,20150324,0.14,70.72
AMAYA,20150325,0.21,70.98
AMAYA,20150326,0.23,71.33
AMAYA,20150327,0.22,69.29
AMAYA,20150328,0.22,67.73
AMAYA,20150329,0.15,69.0
AMAYA,20150330,0.15,68.34
AMAYA,20150331,0.16,67.93
AMAYA,20150401,0.14,71.23
AMAYA,20150402,0.13,64.58
AMAYA,20150403,0.13,62.82
AMAYA,20150404,0.16,69.76
AMAYA,20150405,0.24,71.52
AMAYA,20150406,0.28,65.54
AMAYA,20150407,0.21,66.86
AMAYA,20150408,0.17,64.78
AMAYA,20150409,0.28,64.5
AMAYA,20150410,0.26,65.45
AMAYA,20150411,0.24,64.48
AMAYA,20150412,0.19,62.52
AMAYA,20150413,0.25,64.34
AMAYA,20150414,0.32,65.54
AMAYA,20150415,0.26,67.46
AMAYA,20150416,0.24,67.49
AMAYA,20150417,0.21,66.57
AMAYA,20150418,0.17,68.16
AMAYA,20150419,0.24,73.36
AMAYA,20150420,0.22,71.38
AMAYA,20150421,0.37,74.48
AMAYA,20150422,0.25,73.2
AMAYA,20150423,0.18,67.84
AMAYA,20150424,0.15,68.79
AMAYA,20150425,0.14,65.22
AMAYA,20150426,0.19,65.7
AMAYA,20150427,0.18,64.79
AMAYA,20150428,0.19,64.61
AMAYA,20150429,0.24,64.75
AMAYA,20150430,0.36,63.08
AMAYA,20150501,0.2,58.22
AMAYA,20150502,0.15,61.3
AMAYA,20150503,0.2,67.48
AMAYA,20150504,0.23,69.15
AMAYA,20150505,0.24,72.7
AMAYA,20150506,0.28,73.35
AMAYA,20150507,0.4,68.2
AMAYA,20150508,0.25,68.57
AMAYA,20150509,0.26,67.84
AMAYA,20150510,0.17,75.85
AMAYA,20150511,0.23,69.85
AMAYA,20150512,0.31,63.66
AMAYA,20150513,0.17,64.76
AMAYA,20150514,0.11,65.02
AMAYA,20150515,0.13,65.53
AMAYA,20150516,0.21,61.84
AMAYA,20150517,0.14,60.52
AMAYA,20150518,0.18,58.19
AMAYA,20150519,0.18,64.0
AMAYA,20150520,0.17,63.32
AMAYA,20150521,0.21,66.31
AMAYA,20150522,0.26,67.17
AMAYA,20150523,0.34,74.9
AMAYA,20150524,0.36,65.67
AMAYA,20150525,0.35,71.4
AMAYA,20150526,0.28,67.89
AMAYA,20150527,0.29,65.94
AMAYA,20150528,0.32,68.25
AMAYA,20150529,0.25,71.88
AMAYA,20150530,0.26,67.95
AMAYA,20150531,0.28,68.66
AMAYA,20150601,0.26,65.02
AMAYA,20150602,0.12,67.82
AMAYA,20150603,0.19,68.09
AMAYA,20150604,0.2,65.71
AMAYA,20150605,0.21,67.12
AMAYA,20150606,0.26,71.32
AMAYA,20150607,0.27,79.32
AMAYA,20150608,0.21,74.54
AMAYA,20150609,0.25,72.41
AMAYA,20150610,0.19,70.45
AMAYA,20150611,0.24,69.55
AMAYA,20150612,0.22,71.99
AMAYA,20150613,0.18,69.98
AMAYA,20150614,0.25,71.26
AMAYA,20150615,0.22,69.65
AMAYA,20150616,0.25,75.41
AMAYA,20150617,0.25,77.22
AMAYA,20150618,0.23,78.95
AMAYA,20150619,0.29,77.85
AMAYA,20150620,0.38,82.57
AMAYA,20150621,0.49,84.86
AMAYA,20150622,0.56,84.57
AMAYA,20150623,0.39,82.74
AMAYA,20150624,0.28,82.74
AMAYA,20150625,0.18,78.07
AMAYA,20150626,0.22,80.57
AMAYA,20150627,0.16,77.92
AMAYA,20150628,0.2,77.87
AMAYA,20150629,0.23,80.66
AMAYA,20150630,0.24,80.87
AMAYA,20150701,0.18,82.31
AMAYA,20150702,0.21,80.36
AMAYA,20150703,0.32,82.76
AMAYA,20150704,0.35,85.59
AMAYA,20150705,0.42,85.23
AMAYA,20150706,0.4,82.22
AMAYA,20150707,0.38,83.49
AMAYA,20150708,0.49,88.48
AMAYA,20150709,0.55,91.21
AMAYA,20150710,0.54,88.2
AMAYA,20150711,0.47,84.86
AMAYA,20150712,0.45,85.39
AMAYA,20150713,0.42,85.9
AMAYA,20150714,0.3,85.43
AMAYA,20150715,0.25,85.59
AMAYA,20150716,0.28,89.53
AMAYA,20150717,0.25,89.42
AMAYA,20150718,0.28,87.53
AMAYA,20150719,0.27,85.09
AMAYA,20150720,0.21,79.34
AMAYA,20150721,0.27,78.53
AMAYA,20150722,0.3,81.22
AMAYA,20150723,0.28,80.78
AMAYA,20150724,0.25,85.73
AMAYA,20150725,0.22,85.6
AMAYA,20150726,0.23,79.51
AMAYA,20150727,0.43,81.51
AMAYA,20150728,0.38,78.48
AMAYA,20150729,0.29,75.14
AMAYA,20150730,0.21,77.67
AMAYA,20150731,0.15,78.95
AMAYA,20150801,0.2,78.87
AMAYA,20150802,0.25,84.96
AMAYA,20150803,0.2,81.02
AMAYA,20150804,0.23,82.71
AMAYA,20150805,0.27,86.47
AMAYA,20150806,0.34,85.83
AMAYA,20150807,0.36,84.53
AMAYA,20150808,0.25,85.01
AMAYA,20150809,0.2,85.73
AMAYA,20150810,0.22,88.75
AMAYA,20150811,0.22,80.77
AMAYA,20150812,0.25,81.81
AMAYA,20150813,0.23,78.84
AMAYA,20150814,0.25,82.14
AMAYA,20150815,0.25,82.35
AMAYA,20150816,0.24,80.14
AMAYA,20150817,0.21,81.83
AMAYA,20150818,0.23,83.23
AMAYA,20150819,0.24,83.71
AMAYA,20150820,0.26,85.48
AMAYA,20150821,0.38,84.53
AMAYA,20150822,0.61,88.14
AMAYA,20150823,0.72,88.97
AMAYA,20150824,0.6,91.62
AMAYA,20150825,0.67,89.23
AMAYA,20150826,0.44,85.68
AMAYA,20150827,0.4,79.29
AMAYA,20150828,0.43,78.25
AMAYA,20150829,0.31,80.01
AMAYA,20150830,0.32,80.93
AMAYA,20150831,0.27,80.79
AMAYA,20150901,0.25,77.65
AMAYA,20150902,0.24,83.36
AMAYA,20150903,0.18,83.9
AMAYA,20150904,0.2,80.9
AMAYA,20150905,0.28,83.03
AMAYA,20150906,0.22,85.86
AMAYA,20150907,0.22,86.93
AMAYA,20150908,0.23,84.44
AMAYA,20150909,0.17,86.39
AMAYA,20150910,0.23,87.51
AMAYA,20150911,0.3,87.4
AMAYA,20150912,0.26,84.11
AMAYA,20150913,0.32,84.44
AMAYA,20150914,0.32,87.92
AMAYA,20150915,0.27,80.51
AMAYA,20150916,0.19,79.17
AMAYA,20150917,0.12,75.56
AMAYA,20150918,0.14,75.88
AMAYA,20150919,0.15,76.12
AMAYA,20150920,0.17,77.14
AMAYA,20150921,0.28,82.29
AMAYA,20150922,0.3,82.96
AMAYA,20150923,0.37,88.53
AMAYA,20150924,0.32,85.66
AMAYA,20150925,0.33,86.43
AMAYA,20150926,0.37,84.98
AMAYA,20150927,0.39,85.73
AMAYA,20150928,0.52,87.3
AMAYA,20150929,0.42,83.32
AMAYA,20150930,0.4,77.65
AMAYA,20151001,0.35,82.93
AMAYA,20151002,0.37,89.57
AMAYA,20151003,0.63,82.08
AMAYA,20151004,0.36,82.83
AMAYA,20151005,0.17,85.34
AMAYA,20151006,0.16,82.66
AMAYA,20151007,0.16,80.96
AMAYA,20151008,0.19,82.28
AMAYA,20151009,0.22,79.44
AMAYA,20151010,0.21,78.39
AMAYA,20151011,0.23,71.24
AMAYA,20151012,0.26,76.96
AMAYA,20151013,0.22,81.96
AMAYA,20151014,0.24,83.59
AMAYA,20151015,0.31,77.82
AMAYA,20151016,0.36,79.66
AMAYA,20151017,0.22,88.57
AMAYA,20151018,0.29,86.27
AMAYA,20151019,0.53,85.25
AMAYA,20151020,0.83,83.73
AMAYA,20151021,0.5,82.37
AMAYA,20151022,0.22,84.97
AMAYA,20151023,0.18,84.16
AMAYA,20151024,0.44,72.1
AMAYA,20151025,0.67,81.34
AMAYA,20151026,0.32,83.12
AMAYA,20151027,0.27,83.28
AMAYA,20151028,0.24,79.74
AMAYA,20151029,0.21,79.42
AMAYA,20151030,0.18,84.8
AMAYA,20151031,0.18,89.03
AMAYA,20151101,0.15,86.37
AMAYA,20151102,0.13,86.06
AMAYA,20151103,0.15,84.76
AMAYA,20151104,0.09,83.31
AMAYA,20151105,0.09,84.11
AMAYA,20151106,0.11,86.24
AMAYA,20151107,0.11,84.03
AMAYA,20151108,0.11,83.63
AMAYA,20151109,0.11,84.22
AMAYA,20151110,0.11,83.39
AMAYA,20151111,0.1,82.57
AMAYA,20151112,0.09,83.64
AMAYA,20151113,0.1,82.04
AMAYA,20151114,0.13,81.85
AMAYA,20151115,0.14,81.87
AMAYA,20151116,0.11,83.56
AMAYA,20151117,0.09,81.55
AMAYA,20151118,0.07,81.99
AMAYA,20151119,0.09,78.68
AMAYA,20151120,0.1,79.76
AMAYA,20151121,0.14,78.82
AMAYA,20151122,0.1,80.29
AMAYA,20151123,0.16,78.51
AMAYA,20151124,0.15,80.08
AMAYA,20151125,0.19,79.84
AMAYA,20151126,0.15,77.65
AMAYA,20151127,0.19,80.34
AMAYA,20151128,0.18,81.74
AMAYA,20151129,0.23,81.92
AMAYA,20151130,0.19,81.59
AMAYA,20151201,0.16,82.56
AMAYA,20151202,0.17,77.49
AMAYA,20151203,0.14,79.14
AMAYA,20151204,0.09,78.64
AMAYA,20151205,0.21,84.62
AMAYA,20151206,0.17,86.36
AMAYA,20151207,0.12,82.4
AMAYA,20151208,0.16,81.48
AMAYA,20151209,0.13,81.22
AMAYA,20151210,0.15,77.9
AMAYA,20151211,0.12,76.52
AMAYA,20151212,0.19,78.15
AMAYA,20151213,0.15,77.16
AMAYA,20151214,0.19,79.45
AMAYA,20151215,0.28,87.76
AMAYA,20151216,0.38,91.56
AMAYA,20151217,0.36,90.46
AMAYA,20151218,0.22,85.78
AMAYA,20151219,0.28,86.37
AMAYA,20151220,0.2,87.13
AMAYA,20151221,0.18,88.39
AMAYA,20151222,0.15,85.32
AMAYA,20151223,0.13,82.61
AMAYA,20151224,0.14,84.04
AMAYA,20151225,0.16,84.38
AMAYA,20151226,0.12,84.57
AMAYA,20151227,0.09,82.51
AMAYA,20151228,0.1,80.45
AMAYA,20151229,0.1,80.38
AMAYA,20151230,0.13,81.46
AMAYA,20151231,0.14,86.28
AMAYA,20160101,0.15,85.74
AMAYA,20160102,0.15,86.74
AMAYA,20160103,0.15,84.18
AMAYA,20160104,0.11,83.76
AMAYA,20160105,0.1,81.8
AMAYA,20160106,0.16,78.89
AMAYA,20160107,0.19,82.27
AMAYA,20160108,0.11,77.78
AMAYA,20160109,0.17,81.91
AMAYA,20160110,0.1,82.02
AMAYA,20160111,0.12,81.88
AMAYA,20160112,0.17,80.87
AMAYA,20160113,0.14,82.44
AMAYA,20160114,0.12,82.73
AMAYA,20160115,0.12,81.49
AMAYA,20160116,0.16,81.86
AMAYA,20160117,0.14,77.55
AMAYA,20160118,0.2,76.0
AMAYA,20160119,0.25,81.56
AMAYA,20160120,0.27,80.73
AMAYA,20160121,0.2,78.68
AMAYA,20160122,0.2,78.88
AMAYA,20160123,0.2,75.71
AMAYA,20160124,0.26,78.75
AMAYA,20160125,0.26,77.11
AMAYA,20160126,0.24,77.47
AMAYA,20160127,0.13,80.17
AMAYA,20160128,0.19,79.33
AMAYA,20160129,0.17,81.06
AMAYA,20160130,0.12,79.75
AMAYA,20160131,0.12,79.92
AMAYA,20160201,0.13,75.13
AMAYA,20160202,0.17,74.46
AMAYA,20160203,0.17,79.84
AMAYA,20160204,0.14,80.29
AMAYA,20160205,0.16,81.07
AMAYA,20160206,0.34,81.65
AMAYA,20160207,0.36,82.7
AMAYA,20160208,0.39,77.66
AMAYA,20160209,0.28,78.66
AMAYA,20160210,0.21,79.02
AMAYA,20160211,0.19,79.47
AMAYA,20160212,0.18,76.21
AMAYA,20160213,0.14,74.94
AMAYA,20160214,0.33,73.61
AMAYA,20160215,0.2,78.69
